run_id,source_file,date,comparison,shape,m,n,k,mode,route,a_label,a_median_gflops,a_best_gflops,a_cv_percent,b_label,b_median_gflops,b_best_gflops,b_cv_percent,ratio_label,median_ratio,mean_log_ratio,ratio_cv_percent,bootstrap_low,bootstrap_high,faster_label,faster_count,paired_total,sign_pvalue,holdout_median,holdout_mean_log_ratio,holdout_cv_percent,holdout_bootstrap_low,holdout_bootstrap_high,holdout_faster_label,holdout_faster_count,holdout_total,holdout_sign_pvalue,repeats,iters,cooldown_us,quality_note,notes
hf-fresh-current-vs-head-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_head_direct.txt,2026-05-27,current_vs_repo_head,512x1216x3072,512,1216,3072,one-shot,sme_medium_reuse,repo_head,1502.33,1583.03,10.00,current,1671.72,1722.48,6.98,current/repo_head,1.1135,1.1303,6.20,1.1138,1.1473,current,60,61,5.38e-17,1.1134,1.1391,7.71,1.1091,1.1703,current,30,31,2.98e-08,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh current source against clean HEAD. Direct one-shot mode.
hf-fresh-current-vs-head-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_head_direct.txt,2026-05-27,current_vs_repo_head,1536x512x4096,1536,512,4096,one-shot,sme_large_reuse,repo_head,1391.48,1578.69,15.14,current,1387.69,1505.00,12.29,current/repo_head,0.9960,1.0183,10.79,0.9924,1.0455,current,29,61,0.798,0.9960,1.0180,10.80,0.9802,1.0547,current,14,31,0.72,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh current source against clean HEAD. Direct one-shot mode.
hf-fresh-current-vs-head-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_head_direct.txt,2026-05-27,current_vs_repo_head,2048x512x4096,2048,512,4096,one-shot,sme_large_reuse,repo_head,1513.31,1547.68,3.13,current,1445.07,1475.17,2.98,current/repo_head,0.9550,0.9586,3.64,0.9506,0.9679,current,3,61,3.29e-14,0.9569,0.9589,1.89,0.9530,0.9651,current,1,31,2.98e-08,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh current source against clean HEAD. Direct one-shot mode.
hf-fresh-current-vs-head-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_head_direct.txt,2026-05-27,current_vs_repo_head,1536x768x4096,1536,768,4096,one-shot,sme_large_reuse,repo_head,1603.08,1654.49,2.60,current,1551.82,1586.18,3.77,current/repo_head,0.9663,0.9652,4.09,0.9541,0.9745,current,5,61,5.65e-12,0.9638,0.9696,4.54,0.9536,0.9845,current,5,31,0.000192,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh current source against clean HEAD. Direct one-shot mode.
hf-fresh-current-vs-head-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_head_direct.txt,2026-05-27,current_vs_repo_head,2048x768x4096,2048,768,4096,one-shot,sme_large_reuse,repo_head,1605.11,1655.93,9.35,current,1530.39,1562.61,2.81,current/repo_head,0.9569,0.9882,11.68,0.9651,1.0141,current,10,61,9.62e-08,0.9605,1.0033,13.59,0.9665,1.0526,current,7,31,0.00333,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh current source against clean HEAD. Direct one-shot mode.
hf-fresh-current-vs-head-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_head_direct_768_1024.txt,2026-05-27,current_vs_repo_head,768x512x4096,768,512,4096,one-shot,sme_large_reuse,repo_head,1383.06,1453.25,11.26,current,1436.52,1480.39,8.21,current/repo_head,1.0353,1.0540,7.13,1.0376,1.0727,current,58,61,3.29e-14,1.0303,1.0377,3.74,1.0257,1.0518,current,30,31,2.98e-08,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh current source against clean HEAD for m=768/1024 high-K SME reuse rows.
hf-fresh-current-vs-head-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_head_direct_768_1024.txt,2026-05-27,current_vs_repo_head,768x768x4096,768,768,4096,one-shot,sme_large_reuse,repo_head,1537.94,1564.59,4.54,current,1589.00,1604.36,2.96,current/repo_head,1.0316,1.0402,4.20,1.0297,1.0512,current,58,61,3.29e-14,1.0297,1.0379,4.01,1.0253,1.0535,current,29,31,4.63e-07,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh current source against clean HEAD for m=768/1024 high-K SME reuse rows.
hf-fresh-current-vs-head-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_head_direct_768_1024.txt,2026-05-27,current_vs_repo_head,1024x512x4096,1024,512,4096,one-shot,sme_large_reuse,repo_head,1362.89,1470.94,5.90,current,1420.09,1463.52,4.75,current/repo_head,1.0456,1.0475,8.46,1.0257,1.0702,current,49,61,1.97e-06,1.0570,1.0705,8.45,1.0404,1.1024,current,26,31,0.000192,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh current source against clean HEAD for m=768/1024 high-K SME reuse rows.
hf-fresh-current-vs-head-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_head_direct_768_1024.txt,2026-05-27,current_vs_repo_head,1024x768x4096,1024,768,4096,one-shot,sme_large_reuse,repo_head,1471.45,1530.98,3.78,current,1518.42,1549.97,2.63,current/repo_head,1.0298,1.0323,4.59,1.0220,1.0447,current,50,61,4.59e-07,1.0221,1.0262,4.47,1.0113,1.0431,current,24,31,0.00333,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh current source against clean HEAD for m=768/1024 high-K SME reuse rows.
hf-fresh-accelerate-vs-cob-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_accelerate_direct.txt,2026-05-27,accelerate_vs_cob,512x1216x3072,512,1216,3072,one-shot,sme_medium_reuse,COB,1696.51,1751.12,3.26,Accelerate,1710.50,1747.82,2.94,Accelerate/COB,1.0063,1.0078,3.90,0.9987,1.0180,Accelerate,41,61,0.00985,1.0055,1.0080,5.33,0.9897,1.0261,Accelerate,19,31,0.281,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh Apple Accelerate direct one-shot paired comparison.
hf-fresh-accelerate-vs-cob-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_accelerate_direct.txt,2026-05-27,accelerate_vs_cob,768x512x4096,768,512,4096,one-shot,sme_large_reuse,COB,1450.63,1473.74,1.49,Accelerate,1518.10,1554.69,3.89,Accelerate/COB,1.0475,1.0373,3.97,1.0256,1.0472,Accelerate,57,61,4.85e-13,1.0418,1.0243,5.27,1.0040,1.0425,Accelerate,27,31,3.4e-05,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh Apple Accelerate direct one-shot paired comparison.
hf-fresh-accelerate-vs-cob-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_accelerate_direct.txt,2026-05-27,accelerate_vs_cob,768x768x4096,768,768,4096,one-shot,sme_large_reuse,COB,1564.90,1597.07,3.39,Accelerate,1570.60,1622.03,4.02,Accelerate/COB,1.0046,0.9984,2.66,0.9915,1.0049,Accelerate,38,61,0.0722,1.0089,1.0080,1.63,1.0020,1.0138,Accelerate,26,31,0.000192,61,16,20000,"note: implementation CV above 3.00%, but paired speedup CV met target",Fresh Apple Accelerate direct one-shot paired comparison.
hf-fresh-accelerate-vs-cob-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_accelerate_direct.txt,2026-05-27,accelerate_vs_cob,1024x512x4096,1024,512,4096,one-shot,sme_large_reuse,COB,1477.87,1499.54,0.97,Accelerate,1576.57,1599.50,3.95,Accelerate/COB,1.0677,1.0594,3.89,1.0455,1.0677,Accelerate,60,61,5.38e-17,1.0687,1.0679,0.91,1.0645,1.0713,Accelerate,31,31,9.31e-10,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh Apple Accelerate direct one-shot paired comparison.
hf-fresh-accelerate-vs-cob-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_accelerate_direct.txt,2026-05-27,accelerate_vs_cob,1024x768x4096,1024,768,4096,one-shot,sme_large_reuse,COB,1561.78,1592.77,1.38,Accelerate,1637.74,1672.14,1.46,Accelerate/COB,1.0468,1.0487,1.97,1.0438,1.0540,Accelerate,60,61,5.38e-17,1.0462,1.0479,1.38,1.0432,1.0531,Accelerate,31,31,9.31e-10,61,16,20000,,Fresh Apple Accelerate direct one-shot paired comparison.
hf-fresh-accelerate-vs-cob-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_accelerate_direct.txt,2026-05-27,accelerate_vs_cob,1536x768x4096,1536,768,4096,one-shot,sme_large_reuse,COB,1542.30,1573.38,1.75,Accelerate,1674.69,1717.28,4.58,Accelerate/COB,1.0800,1.0689,3.60,1.0578,1.0779,Accelerate,59,61,1.64e-15,1.0754,1.0654,2.78,1.0548,1.0746,Accelerate,30,31,2.98e-08,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh Apple Accelerate direct one-shot paired comparison.
hf-fresh-accelerate-vs-cob-direct-r61-i16,/private/tmp/cob-hf-interesting-20260527/current_vs_accelerate_direct.txt,2026-05-27,accelerate_vs_cob,2048x512x4096,2048,512,4096,one-shot,sme_large_reuse,COB,1439.89,1467.44,2.11,Accelerate,1643.55,1664.62,3.23,Accelerate/COB,1.1353,1.1324,3.06,1.1228,1.1409,Accelerate,60,61,5.38e-17,1.1384,1.1434,2.00,1.1362,1.1515,Accelerate,31,31,9.31e-10,61,16,20000,warning: sample CV above 3.00%; treat this shape as noisy,Fresh Apple Accelerate direct one-shot paired comparison.
